orig,inverse,complement,rotation_vector,axis_family
R,R',l,X,X
r,r',L,X,X
T,T',R'L,X,X
RL',R'L,T',X,X
l,l',R,X',X
L,L',r,X',X
X,X',0,X,X
R',R,l',X',X
r',r,L',X',X
T',T,RL',X',X
R'L,RL',T,X',X
l',l,R',X,X
L',L,r',X,X
X',X,0,X',X
R2,R2,l2,X2,X
r2,r2,L2,X2,X
T2,T2,R2L2,X2,X
R2L2,R2L2,T2,X2,X
l2,l2,R2,X2,X
L2,L2,r2,X2,X
X2,X2,0,X2,X
X0,X0,0,X0,X
F,F',b,Z,Z
f,f',B,Z,Z
S,S',F'B,Z,Z
FB',F'B,S',Z,Z
b,b',F,Z',Z
B,B',f,Z',Z
Z,Z',0,Z,Z
F',F,b',Z',Z
f',f,B',Z',Z
S',S,FB',Z',Z
F'B,FB',S,Z',Z
b',b,F',Z,Z
B',B,f',Z,Z
Z',Z,0,Z',Z
F2,F2,b2,Z2,Z
f2,f2,B2,Z2,Z
S2,S2,F2B2,Z2,Z
F2B2,F2B2,S2,Z2,Z
b2,b2,F2,Z2,Z
B2,B2,f2,Z2,Z
Z2,Z2,0,Z2,Z
Z0,Z0,0,Z0,Z
U,U',d,Y,Y
u,u',D,Y,Y
H,H',U'D,Y,Y
UD',U'D,H',Y,Y
d,d',U,Y',Y
D,D',u,Y',Y
Y,Y',0,Y,Y
U',U,d',Y',Y
u',u,D',Y',Y
H',H,UD',Y',Y
U'D,UD',H,Y',Y
d',d,U',Y,Y
D',D,u',Y,Y
Y',Y,0,Y',Y
U2,U2,d2,Y2,Y
u2,u2,D2,Y2,Y
H2,H2,U2D2,Y2,Y
U2D2,U2D2,H2,Y2,Y
d2,d2,U2,Y2,Y
D2,D2,u2,Y2,Y
Y2,Y2,0,Y2,Y
Y0,Y0,0,Y0,Y
